DATA,TARGET,T-12,T0-1,T m norm,P1,P2,P7,P8,P9,P10,P11,P14,P17,T1 (°K),T2 (°K),T7 (°K),T8 (°K),T9 (°K),T10 (°K),T11 (°K),T14 (°K),T17 (°K)
1/1/1993,640.138,-0.419,-0.419,-0.593,-0.405,-0.409,-0.556,-0.521,0.106,0.022,-0.284,-0.585,0.012,-0.143,-0.057,-0.181,-0.096,-0.385,-0.291,-0.315,-0.359,-0.243
2/1/1993,645.926,-0.455,-0.568,-0.643,-0.200,-0.169,-0.316,-0.268,-0.026,0.113,-0.365,-0.456,-0.333,0.160,0.168,0.169,0.178,0.034,0.080,0.139,0.145,0.090
3/1/1993,1293.667,-0.129,-0.560,-0.182,0.099,0.299,0.011,0.191,-0.117,0.218,-0.340,-0.309,-0.375,0.257,0.194,0.173,0.143,0.472,0.381,0.361,0.260,0.453
4/1/1993,1285.632,0.120,0.301,0.169,0.722,0.798,0.683,0.773,0.217,0.425,0.185,0.383,-0.065,0.208,0.121,0.159,0.087,0.359,0.225,0.069,-0.001,0.488
5/1/1993,1518.653,0.362,0.290,0.512,0.375,0.426,0.521,0.534,-0.054,-0.021,0.206,0.478,0.015,-0.062,-0.113,-0.105,-0.149,0.483,0.414,0.480,0.293,0.396
6/1/1993,1915.488,0.640,0.600,0.905,-0.356,-0.301,-0.012,-0.131,-0.882,-0.967,-0.418,0.037,-0.490,-0.662,-0.692,-0.682,-0.664,0.098,-0.400,-0.295,-0.550,0.591
7/1/1993,1775.779,0.555,1.128,0.785,-0.407,-0.464,-0.136,-0.313,-0.691,-0.847,-0.293,0.029,-0.319,-0.546,-0.579,-0.527,-0.510,-0.031,-0.389,-0.346,-0.545,0.209
8/1/1993,1341.878,0.146,0.942,0.206,-0.482,-0.520,-0.358,-0.452,-0.460,-0.596,-0.319,-0.218,-0.275,-0.273,-0.378,-0.274,-0.347,-0.068,-0.251,-0.101,-0.143,0.027
9/1/1993,860.544,-0.361,0.365,-0.511,-0.280,-0.386,-0.291,-0.368,0.072,-0.140,-0.006,-0.065,0.107,0.355,0.298,0.311,0.294,0.150,0.337,0.249,0.321,-0.199
10/1/1993,838.339,-0.250,-0.275,-0.353,0.318,0.070,0.104,0.008,0.691,0.541,0.756,0.452,0.696,0.224,0.358,0.318,0.382,-0.247,0.098,-0.186,0.111,-0.460
11/1/1993,1296.000,-0.079,-0.304,-0.112,0.497,0.294,0.203,0.144,1.126,0.995,0.900,0.427,1.256,0.016,0.130,0.045,0.129,-0.283,-0.061,-0.307,-0.162,-0.388
12/1/1993,1149.034,-0.131,0.304,-0.185,-0.291,-0.215,-0.408,-0.291,0.365,0.358,-0.205,-0.471,0.454,0.338,0.321,0.159,0.172,-0.002,0.191,0.208,0.064,-0.158
1/1/1994,964.224,-0.568,0.109,-0.593,-0.351,-0.339,-0.604,-0.554,0.416,0.294,-0.285,-0.661,0.162,-0.147,-0.072,-0.198,-0.119,-0.364,-0.312,-0.252,-0.326,-0.167
2/1/1994,958.003,-0.560,-0.137,-0.643,-0.542,-0.469,-0.641,-0.579,-0.176,-0.120,-0.443,-0.670,-0.206,0.031,-0.001,-0.047,-0.037,0.134,0.066,0.114,-0.021,0.200
3/1/1994,1360.627,0.301,-0.145,-0.182,0.405,0.452,0.192,0.282,0.246,0.429,0.019,-0.061,-0.001,0.325,0.280,0.364,0.323,0.439,0.319,0.237,0.120,0.349
4/1/1994,1428.192,0.290,0.390,0.169,0.283,0.411,0.328,0.387,-0.081,0.151,-0.152,0.059,-0.248,0.075,-0.021,0.012,-0.061,0.236,0.014,-0.058,-0.313,0.265
5/1/1994,1738.282,0.600,0.480,0.512,0.953,1.112,1.181,1.187,0.077,0.226,0.404,0.874,0.141,-0.305,-0.393,-0.428,-0.486,0.180,0.277,0.353,0.420,0.009
6/1/1994,1899.936,1.128,0.892,0.905,-0.072,0.091,0.321,0.205,-1.085,-0.929,-0.475,0.254,-0.954,-0.911,-0.940,-0.980,-0.940,-0.098,-0.635,-0.533,-0.902,0.269
7/1/1994,1607.040,0.942,1.107,0.785,-0.775,-0.671,-0.455,-0.549,-1.365,-1.263,-0.971,-0.520,-1.250,-1.252,-1.281,-1.203,-1.183,-0.386,-1.078,-0.793,-1.096,0.297
8/1/1994,1665.965,0.365,0.718,0.206,-0.554,-0.568,-0.367,-0.482,-0.737,-0.818,-0.484,-0.255,-0.535,-0.052,-0.189,-0.117,-0.156,0.287,0.053,0.160,-0.023,0.174
9/1/1994,1117.152,-0.275,0.796,-0.511,-0.460,-0.554,-0.400,-0.501,-0.225,-0.350,-0.215,-0.203,-0.201,0.578,0.468,0.499,0.466,0.476,0.617,0.584,0.569,0.034
10/1/1994,1039.219,-0.304,0.066,-0.353,0.072,-0.095,-0.061,-0.124,0.461,0.361,0.405,0.182,0.306,0.236,0.338,0.288,0.354,-0.214,0.109,-0.091,0.121,-0.468
11/1/1994,1168.992,0.304,-0.037,-0.112,0.435,0.194,0.126,0.045,0.923,0.744,0.812,0.322,0.989,0.118,0.239,0.158,0.244,-0.305,-0.041,-0.199,-0.010,-0.434
12/1/1994,999.043,0.109,0.135,-0.185,0.018,0.045,-0.199,-0.107,0.665,0.615,0.031,-0.329,0.836,0.194,0.184,0.038,0.059,0.013,0.136,0.090,-0.030,-0.100
1/1/1995,602.640,-0.137,-0.091,-0.593,-1.165,-1.028,-1.090,-1.044,-0.714,-0.527,-1.199,-1.175,-1.160,0.494,0.484,0.268,0.348,0.443,0.456,0.574,0.249,0.679
2/1/1995,500.774,-0.145,-0.618,-0.643,-1.074,-0.937,-1.013,-0.948,-0.955,-0.709,-1.124,-1.102,-1.385,0.876,0.848,0.845,0.858,0.658,0.793,1.043,1.078,0.657
3/1/1995,857.088,0.390,-0.753,-0.182,0.175,0.237,0.108,0.170,-0.141,0.161,-0.229,-0.115,-0.413,0.528,0.461,0.509,0.460,0.470,0.442,0.416,0.413,0.359
4/1/1995,1197.504,0.480,-0.279,0.169,0.640,0.679,0.561,0.612,0.153,0.405,0.257,0.376,-0.139,0.296,0.234,0.301,0.234,0.110,0.032,-0.139,-0.243,0.087
5/1/1995,1336.522,0.892,0.173,0.512,0.655,0.624,0.730,0.647,0.258,0.328,0.510,0.764,0.215,-0.236,-0.256,-0.274,-0.281,0.708,0.713,0.628,0.575,0.540
6/1/1995,1301.184,1.107,0.358,0.905,0.093,0.085,0.356,0.212,-0.520,-0.583,0.037,0.436,-0.283,-0.661,-0.691,-0.720,-0.726,-0.083,-0.382,-0.405,-0.610,0.040
7/1/1995,1489.190,0.718,0.311,0.785,-0.257,-0.285,-0.033,-0.182,-0.549,-0.693,-0.141,0.126,-0.246,-0.638,-0.701,-0.642,-0.667,-0.185,-0.530,-0.417,-0.549,0.005
8/1/1995,822.269,0.796,0.561,0.206,-0.503,-0.620,-0.428,-0.564,-0.344,-0.568,-0.138,-0.149,-0.068,0.263,0.181,0.252,0.200,0.246,0.288,0.265,0.347,0.019
9/1/1995,676.512,0.066,-0.326,-0.511,-0.490,-0.599,-0.486,-0.565,-0.202,-0.343,-0.178,-0.263,-0.159,0.635,0.604,0.658,0.642,0.265,0.537,0.485,0.671,-0.098
10/1/1995,867.802,-0.037,-0.519,-0.353,0.170,-0.058,-0.028,-0.109,0.380,0.286,0.536,0.249,0.303,0.294,0.437,0.416,0.484,-0.329,0.080,-0.127,0.222,-0.551
11/1/1995,938.304,0.135,-0.265,-0.112,0.463,0.202,0.205,0.132,0.740,0.619,0.950,0.492,0.754,-0.095,0.095,0.040,0.146,-0.699,-0.376,-0.550,-0.209,-0.729
12/1/1995,696.384,-0.091,-0.171,-0.185,0.635,0.250,0.216,0.083,0.824,0.484,1.262,0.520,1.164,-0.257,-0.025,-0.080,0.048,-0.924,-0.615,-0.736,-0.364,-0.863
1/1/1996,739.238,-0.618,-0.493,-0.593,-0.227,-0.053,-0.369,-0.196,0.409,0.395,-0.390,-0.613,0.181,-0.217,-0.197,-0.271,-0.276,-0.623,-0.533,-0.317,-0.302,-0.563
2/1/1996,1112.486,-0.753,-0.436,-0.643,0.119,0.303,0.008,0.222,0.348,0.520,-0.158,-0.280,0.127,-0.218,-0.206,-0.181,-0.208,-0.478,-0.448,-0.259,-0.152,-0.417
3/1/1996,1363.306,-0.279,0.060,-0.182,0.690,0.671,0.481,0.559,0.661,0.820,0.433,0.286,0.323,-0.060,-0.036,-0.031,-0.040,0.317,0.272,0.217,0.169,0.198
4/1/1996,1137.888,0.173,0.394,0.169,0.390,0.442,0.440,0.478,0.071,0.214,0.018,0.198,-0.062,0.079,0.002,0.047,-0.029,-0.093,-0.269,-0.443,-0.583,-0.008
5/1/1996,1365.984,0.358,0.094,0.512,0.530,0.593,0.613,0.602,0.293,0.341,0.333,0.536,0.266,-0.568,-0.587,-0.636,-0.647,-0.072,-0.059,-0.137,-0.057,0.029
6/1/1996,1534.464,0.311,0.397,0.905,-0.219,-0.157,0.061,-0.036,-0.656,-0.734,-0.334,0.018,-0.419,-1.213,-1.216,-1.224,-1.213,-0.430,-0.936,-0.831,-1.060,0.036
7/1/1996,1708.819,0.561,0.621,0.785,-0.417,-0.506,-0.244,-0.424,-0.714,-0.858,-0.275,-0.094,-0.431,-0.992,-0.986,-0.969,-0.924,-0.413,-0.803,-0.757,-0.934,-0.131
8/1/1996,1108.858,-0.326,0.853,0.206,-0.398,-0.421,-0.286,-0.373,-0.563,-0.631,-0.319,-0.186,-0.394,-0.029,-0.191,-0.105,-0.176,0.209,0.002,0.205,0.058,0.054
9/1/1996,811.296,-0.519,0.055,-0.511,-0.444,-0.529,-0.421,-0.500,-0.283,-0.378,-0.218,-0.247,-0.345,0.473,0.381,0.433,0.388,0.290,0.452,0.448,0.520,-0.128
10/1/1996,1189.210,-0.265,-0.340,-0.353,0.371,0.111,0.126,0.012,0.545,0.491,0.631,0.391,0.257,0.174,0.298,0.244,0.313,-0.385,-0.021,-0.198,0.071,-0.598
11/1/1996,756.864,-0.171,0.162,-0.112,0.367,0.183,0.172,0.121,0.416,0.462,0.639,0.334,0.353,0.101,0.219,0.123,0.187,-0.474,-0.135,-0.254,-0.017,-0.685
12/1/1996,950.832,-0.493,-0.413,-0.185,-0.235,-0.113,-0.314,-0.185,0.207,0.316,-0.283,-0.469,0.122,-0.039,-0.025,-0.182,-0.149,-0.362,-0.183,-0.211,-0.283,-0.538
1/1/1997,1173.139,-0.436,-0.155,-0.593,-0.514,-0.405,-0.557,-0.441,-0.335,-0.267,-0.474,-0.647,-0.375,-0.381,-0.230,-0.274,-0.202,-0.849,-0.684,-0.689,-0.496,-0.761
2/1/1997,878.170,0.060,0.141,-0.643,-0.471,-0.248,-0.395,-0.253,-0.438,-0.211,-0.718,-0.654,-0.634,-0.163,-0.148,-0.246,-0.224,0.095,-0.047,-0.028,-0.215,0.232
3/1/1997,916.013,0.394,-0.251,-0.182,0.141,0.296,-0.032,0.157,0.261,0.518,-0.193,-0.326,0.043,0.166,0.106,0.118,0.077,0.380,0.254,0.134,0.080,0.529
4/1/1997,930.528,0.094,-0.201,0.169,0.552,0.652,0.540,0.610,-0.116,0.235,0.022,0.243,-0.411,0.036,0.004,0.038,0.007,0.231,-0.088,-0.124,-0.362,0.530
5/1/1997,1748.995,0.397,-0.182,0.512,1.080,1.341,1.395,1.464,-0.193,0.039,0.344,1.036,-0.153,-0.373,-0.458,-0.477,-0.547,0.295,0.205,0.340,0.213,0.365
6/1/1997,1200.096,0.621,0.906,0.905,-0.228,-0.267,-0.031,-0.171,-0.680,-0.752,-0.230,0.086,-0.536,-0.529,-0.541,-0.540,-0.520,0.032,-0.277,-0.301,-0.476,0.379
7/1/1997,2115.936,0.853,0.177,0.785,-0.852,-0.738,-0.540,-0.629,-1.572,-1.407,-1.163,-0.686,-1.599,-0.667,-0.687,-0.603,-0.540,0.192,-0.476,-0.268,-0.606,1.112
