#C=8795,gamma=0.029,epsilon=819,train_percent=0.75
DATA,TARGET,T-12,T0-1,T m norm,P1,P2,P7,P8,P9,P10,P11,P14,P17,T1,T2,T7,T8,T9,T10,T11,T14,T17,E1
1/1/1993,7299.504,4945.013,752.184,6493.589,1929.768,1674.591,1660.953,1442.213,2236.408,1854.570,1808.859,1649.801,3384.062,292.865,294.245,294.263,295.791,294.398,293.346,292.830,293.035,296.777,6686.067
2/1/1993,8435.146,5741.405,640.138,7226.131,1971.447,1687.655,1767.273,1481.033,2037.275,1701.054,1778.388,1784.130,3230.832,292.807,294.152,294.227,295.744,294.478,293.322,292.853,293.020,296.899,7307.304
3/1/1993,9131.098,6500.750,645.926,7677.758,1800.555,1537.033,1636.308,1355.549,1876.919,1515.513,1670.232,1720.561,3127.257,292.742,294.090,294.151,295.694,294.585,293.440,292.873,293.038,296.934,7907.400
4/1/1993,8697.974,6707.285,1293.667,7502.885,1648.119,1348.906,1491.459,1200.899,1848.772,1388.409,1634.549,1656.839,3084.558,292.883,294.297,294.334,295.936,294.418,293.342,292.781,293.023,296.727,7709.682
5/1/1993,8250.682,6345.557,1285.632,7224.965,1388.044,1108.280,1227.680,981.293,1860.847,1316.265,1577.012,1475.984,3156.040,292.862,294.329,294.368,296.007,294.522,293.320,292.821,292.938,296.895,7398.207
6/1/1993,8028.029,5885.318,1518.653,6893.030,1387.964,1079.170,1179.167,939.734,2079.584,1445.129,1714.196,1487.652,3482.284,292.822,294.317,294.337,295.988,294.205,293.214,292.677,292.980,296.425,7090.035
7/1/1993,7261.574,5344.454,1915.488,6313.142,1526.525,1174.573,1195.210,971.956,2500.378,1775.035,1887.920,1471.719,3905.348,292.961,294.466,294.444,296.096,294.120,293.265,292.697,293.040,296.163,6569.886
8/1/1993,6450.019,4828.416,1775.779,5581.344,1540.402,1214.019,1151.285,969.080,2682.492,1955.196,1873.851,1373.545,3953.871,292.895,294.356,294.311,295.922,294.000,293.185,292.625,292.947,296.072,6131.065
9/1/1993,6066.144,4404.336,1341.878,5130.926,1612.611,1281.622,1170.397,1007.461,2797.175,2115.250,1948.365,1385.584,3990.975,293.023,294.513,294.438,296.048,293.974,293.252,292.679,293.062,296.014,5474.487
10/1/1993,6566.227,4335.326,860.544,5297.318,1731.035,1384.689,1223.395,1064.505,2779.157,2190.482,1980.489,1372.099,3766.339,293.093,294.609,294.553,296.162,294.008,293.295,292.763,293.181,296.152,5400.807
11/1/1993,7156.080,4417.910,838.339,5598.278,1784.378,1506.381,1295.203,1174.039,2786.238,2273.580,1878.744,1323.424,3834.843,293.136,294.580,294.537,296.101,294.233,293.408,292.912,293.219,296.418,5720.948
12/1/1993,7598.362,4590.566,1296.000,5955.955,1866.540,1631.708,1474.607,1326.216,2580.516,2146.836,1769.837,1414.642,3621.462,293.114,294.515,294.487,296.024,294.370,293.473,292.979,293.213,296.573,6034.845
1/1/1994,8349.264,5384.016,1149.034,6493.589,2030.290,1753.126,1714.421,1476.148,2473.513,2023.085,1915.361,1708.398,3608.944,292.865,294.256,294.256,295.793,294.341,293.335,292.820,293.025,296.611,6821.804
2/1/1994,8992.080,6659.366,964.224,7226.131,1958.350,1704.364,1751.194,1480.229,2120.005,1757.580,1788.619,1754.491,3342.477,292.670,294.009,294.043,295.572,294.385,293.232,292.723,292.825,296.704,7747.510
3/1/1994,9700.042,7789.219,958.003,7677.758,1993.127,1680.873,1816.657,1485.606,2053.839,1640.053,1854.335,1887.618,3349.999,292.703,294.043,294.115,295.651,294.397,293.266,292.716,292.822,296.559,8151.847
4/1/1994,9456.566,7837.430,1360.627,7502.885,1740.981,1442.426,1593.483,1272.583,1879.644,1457.515,1705.958,1742.286,3103.786,292.687,294.063,294.093,295.673,294.252,293.194,292.640,292.784,296.386,8062.610
5/1/1994,9067.594,7412.342,1428.192,7224.965,1555.475,1262.927,1395.455,1106.253,1893.758,1399.916,1638.574,1595.313,3080.433,292.697,294.158,294.153,295.815,294.394,293.255,292.757,292.889,296.596,7685.299
6/1/1994,8498.304,6732.029,1738.282,6893.030,1467.807,1169.004,1239.611,985.536,1969.601,1451.505,1666.135,1490.708,3188.548,292.609,294.077,294.104,295.752,294.075,293.019,292.510,292.739,296.291,7628.003
7/1/1994,7597.411,6112.541,1899.936,6313.142,1463.050,1165.926,1156.745,955.861,2328.167,1698.671,1693.266,1354.560,3552.058,292.664,294.120,294.124,295.746,293.969,293.003,292.516,292.787,296.136,7186.978
8/1/1994,6593.011,5485.795,1607.040,5581.344,1477.779,1168.346,1108.307,931.574,2530.771,1868.408,1765.858,1316.975,3735.693,292.958,294.437,294.365,296.008,294.121,293.273,292.691,292.971,296.179,5917.561
9/1/1994,5427.821,5108.141,1665.965,5130.926,1552.851,1224.267,1139.225,966.775,2588.131,1982.288,1877.989,1363.489,3705.185,293.154,294.648,294.567,296.189,294.170,293.425,292.826,293.182,296.225,5369.672
10/1/1994,5167.757,5205.600,1117.152,5297.318,1622.215,1336.708,1178.059,1045.055,2581.597,2090.545,1758.933,1263.643,3468.274,293.214,294.700,294.617,296.226,294.303,293.519,292.936,293.264,296.448,5295.018
11/1/1994,5326.042,5727.888,1039.219,5598.278,1679.920,1417.520,1230.255,1109.658,2465.143,2048.613,1718.587,1237.836,3346.057,293.358,294.818,294.757,296.337,294.544,293.695,293.157,293.444,296.784,5305.835
